ID,Trial,Success,Solving time,Treatment,Colony
1,1,0,,1,1
1,2,0,,1,1
1,3,0,,1,1
1,4,0,,1,1
1,5,0,,1,1
1,6,1,9,1,1
1,7,0,,1,1
1,8,0,,1,1
1,9,0,,1,1
1,10,0,,1,1
1,11,0,,1,1
1,12,1,8,1,1
1,13,1,20,1,1
1,14,0,,1,1
1,15,1,64,1,1
1,16,1,56,1,1
1,17,1,47,1,1
1,18,1,49,1,1
1,19,1,32,1,1
1,20,1,42,1,1
1,21,1,44,1,1
1,22,1,38,1,1
1,23,1,57,1,1
1,24,1,39,1,1
1,25,1,37,1,1
1,26,1,32,1,1
1,27,1,22,1,1
1,28,1,17,1,1
2,1,0,,1,1
2,2,1,113,1,1
2,3,0,,1,1
2,4,1,85,1,1
2,5,1,51,1,1
2,6,1,44,1,1
2,7,0,,1,1
2,8,1,57,1,1
2,9,0,,1,1
2,10,0,,1,1
2,11,0,,1,1
2,12,0,,1,1
2,13,1,8,1,1
2,14,0,,1,1
2,15,0,,1,1
2,16,0,,1,1
2,17,1,61,1,1
2,18,1,47,1,1
2,19,1,67,1,1
2,20,0,,1,1
2,21,1,48,1,1
2,22,1,36,1,1
2,23,0,,1,1
2,24,1,37,1,1
2,25,1,7,1,1
2,26,1,35,1,1
2,27,1,41,1,1
2,28,1,34,1,1
2,29,1,29,1,1
2,30,1,26,1,1
2,31,1,17,1,1
2,32,1,18,1,1
2,33,1,12,1,1
3,1,0,,1,2
3,2,0,,1,2
3,3,1,29,1,2
3,4,0,,1,2
3,5,0,,1,2
3,6,0,,1,2
3,7,0,,1,2
3,8,0,,1,2
3,9,0,,1,2
3,10,0,,1,2
3,11,0,,1,2
3,12,0,,1,2
3,13,0,,1,2
3,14,0,,1,2
3,15,0,,1,2
3,16,1,67,1,2
3,17,1,26,1,2
3,18,0,,1,2
3,19,0,,1,2
3,20,0,,1,2
3,21,0,,1,2
3,22,0,,1,2
3,23,0,,1,2
3,24,0,,1,2
3,25,0,,1,2
3,26,0,,1,2
3,27,0,,1,2
3,28,0,,1,2
3,29,0,,1,2
3,30,0,,1,2
3,31,0,,1,2
3,32,0,,1,2
3,33,0,,1,2
3,34,1,27,1,2
3,35,1,69,1,2
3,36,1,32,1,2
3,37,1,19,1,2
3,38,1,20,1,2
3,39,1,21,1,2
3,40,1,17,1,2
3,41,1,29,1,2
3,42,1,27,1,2
3,43,1,24,1,2
3,44,1,8,1,2
4,1,0,,1,2
4,2,0,,1,2
4,3,0,,1,2
4,4,0,,1,2
4,5,0,,1,2
4,6,0,,1,2
4,7,0,,1,2
4,8,0,,1,2
4,9,0,,1,2
4,10,0,,1,2
4,11,0,,1,2
4,12,0,,1,2
4,13,0,,1,2
4,14,0,,1,2
4,15,1,41,1,2
4,16,1,27,1,2
4,17,1,36,1,2
4,18,1,18,1,2
4,19,1,25,1,2
4,20,1,21,1,2
4,21,1,13,1,2
5,1,1,34,1,3
5,2,1,47,1,3
5,3,0,,1,3
5,4,0,,1,3
5,5,0,,1,3
5,6,1,35,1,3
5,7,1,13,1,3
5,8,1,9,1,3
5,9,1,7,1,3
5,10,1,25,1,3
5,11,1,14,1,3
5,12,1,10,1,3
5,13,1,27,1,3
5,14,1,24,1,3
5,15,1,6,1,3
5,16,1,8,1,3
6,1,0,,1,3
6,2,0,,1,3
6,3,0,,1,3
6,4,0,,1,3
6,5,0,,1,3
6,6,1,83,1,3
6,7,1,21,1,3
6,8,1,22,1,3
6,9,1,41,1,3
6,10,1,15,1,3
6,11,1,30,1,3
6,12,1,26,1,3
6,13,1,48,1,3
6,14,1,35,1,3
6,15,1,6,1,3
7,1,0,,1,3
7,2,0,,1,3
7,3,0,,1,3
7,4,0,,1,3
7,5,0,,1,3
7,6,0,,1,3
7,7,0,,1,3
7,8,0,,1,3
7,9,0,,1,3
7,10,0,,1,3
7,11,0,,1,3
7,12,1,,1,3
7,13,1,21,1,3
7,14,1,58,1,3
7,15,1,25,1,3
7,16,1,26,1,3
7,17,1,20,1,3
7,18,1,10,1,3
7,19,1,3,1,3
7,20,1,12,1,3
7,21,1,16,1,3
8,1,0,,1,3
8,2,0,,1,3
8,3,0,,1,3
8,4,0,,1,3
8,5,1,16,1,3
8,6,1,18,1,3
8,7,1,25,1,3
8,8,1,5,1,3
8,9,1,11,1,3
8,10,1,6,1,3
8,11,1,9,1,3
8,12,1,5,1,3
8,13,1,6,1,3
8,14,1,7,1,3
9,1,0,,1,3
9,2,0,,1,3
9,3,0,,1,3
9,4,0,,1,3
9,5,0,,1,3
9,6,0,,1,3
9,7,1,9,1,3
9,8,1,69,1,3
9,9,1,19,1,3
9,10,1,13,1,3
9,11,1,4,1,3
9,12,1,18,1,3
9,13,1,8,1,3
9,14,1,14,1,3
9,15,1,3,1,3
9,16,1,7,1,3
10,1,0,,0,4
10,2,0,,0,4
10,3,0,,0,4
10,4,0,,0,4
10,5,0,,0,4
10,6,1,74,0,4
10,7,0,,0,4
10,8,0,,0,4
10,9,1,17,0,4
10,10,0,,0,4
