ID,Colony,Treatment,Trial,Success,Ball type,solving time
11,1,1,1,1,1,6
11,1,1,2,1,1,2
11,1,1,3,1,1,1
11,1,1,4,1,1,14
11,1,1,5,1,2,12
11,1,1,6,1,1,2
11,1,1,7,1,2,3
11,1,1,8,1,1,2
11,1,1,9,1,2,3
11,1,1,10,1,2,3
11,1,1,11,1,4,34
15,1,1,1,0,,
15,1,1,2,1,1,77
15,1,1,3,1,1,20
15,1,1,4,1,3,78
15,1,1,5,1,2,37
15,1,1,6,1,2,4
15,1,1,7,1,1,71
15,1,1,8,1,1,6
15,1,1,9,1,1,2
15,1,1,10,1,1,26
15,1,1,11,1,4,3
16,1,1,1,1,1,13
16,1,1,2,1,1,50
16,1,1,3,1,1,32
16,1,1,4,1,1,204
16,1,1,5,1,1,12
16,1,1,6,1,1,9
16,1,1,7,1,1,6
16,1,1,8,1,1,3
16,1,1,9,1,1,21
16,1,1,10,1,1,5
16,1,1,11,1,4,18
17,2,1,1,1,2,21
17,2,1,2,1,1,287
17,2,1,3,1,3,129
17,2,1,4,1,3,11
17,2,1,5,1,1,19
17,2,1,6,1,2,78
17,2,1,7,1,2,48
17,2,1,8,1,3,53
17,2,1,9,1,1,85
17,2,1,10,1,1,46
17,2,1,11,1,2,19
25,2,1,1,1,1,19
25,2,1,2,1,1,266
25,2,1,3,1,2,31
25,2,1,4,1,1,37
25,2,1,5,1,1,1
25,2,1,6,1,1,35
25,2,1,7,1,1,4
25,2,1,8,1,1,35
25,2,1,9,1,2,3
25,2,1,10,1,1,25
25,2,1,11,1,4,46
47,2,1,1,1,1,5
47,2,1,2,1,2,32
47,2,1,3,1,1,2
47,2,1,4,1,1,141
47,2,1,5,1,1,23
47,2,1,6,1,1,25
47,2,1,7,1,2,11
47,2,1,8,1,1,7
47,2,1,9,1,1,17
47,2,1,10,1,3,13
47,2,1,11,1,4,26
95,3,1,1,1,1,138
95,3,1,2,1,2,106
95,3,1,3,1,1,24
95,3,1,4,1,2,238
95,3,1,5,1,3,26
95,3,1,6,1,1,101
95,3,1,7,1,1,80
95,3,1,8,1,1,36
95,3,1,9,1,2,55
95,3,1,10,1,1,92
95,3,1,11,1,4,7
96,3,1,1,1,1,142
96,3,1,2,1,1,11
96,3,1,3,1,1,96
96,3,1,4,1,1,17
96,3,1,5,1,1,211
96,3,1,6,1,2,55
96,3,1,7,1,1,41
96,3,1,8,1,1,175
96,3,1,9,1,3,44
96,3,1,10,1,1,4
96,3,1,11,1,4,25
97,3,1,1,1,1,25
97,3,1,2,1,1,5
97,3,1,3,1,1,14
97,3,1,4,1,1,130
97,3,1,5,1,1,37
97,3,1,6,1,1,10
97,3,1,7,1,1,88
97,3,1,8,1,1,17
97,3,1,9,1,1,53
97,3,1,10,1,1,14
97,3,1,11,1,4,246
99,3,1,1,1,1,39
99,3,1,2,1,1,7
99,3,1,3,1,2,8
99,3,1,4,1,1,16
99,3,1,5,1,3,34
99,3,1,6,1,1,10
99,3,1,7,1,1,28
99,3,1,8,1,1,22
99,3,1,9,1,3,55
99,3,1,10,1,1,148
99,3,1,11,1,3,77
1,5,2,1,1,1,126
1,5,2,2,1,1,74
1,5,2,3,1,1,88
1,5,2,4,1,1,134
1,5,2,5,1,1,132
1,5,2,6,1,1,68
1,5,2,7,0,,
1,5,2,8,0,,
1,5,2,9,1,1,16
1,5,2,10,1,3,216
1,5,2,11,0,,
3,5,2,1,1,1,13
3,5,2,2,1,2,111
3,5,2,3,0,,
3,5,2,4,1,2,82
3,5,2,5,1,2,174
3,5,2,6,1,1,101
3,5,2,7,1,1,2
3,5,2,8,1,1,23
3,5,2,9,1,1,100
3,5,2,10,1,1,138
3,5,2,11,1,3,249
6,5,2,1,1,1,9
6,5,2,2,0,,
6,5,2,3,1,3,216
6,5,2,4,1,1,6
6,5,2,5,1,1,22
6,5,2,6,1,1,27
6,5,2,7,1,3,26
6,5,2,8,0,,
6,5,2,9,1,3,56
6,5,2,10,1,,
6,5,2,11,1,4,13
7,5,2,1,0,,
7,5,2,2,1,1,229
7,5,2,3,0,,
7,5,2,4,1,2,105
7,5,2,5,0,,
7,5,2,6,1,1,27
7,5,2,7,0,,
7,5,2,8,1,1,30
7,5,2,9,0,,
7,5,2,10,1,1,80
7,5,2,11,1,2,33
26,4,2,1,1,1,3
26,4,2,2,1,1,1
26,4,2,3,0,,
26,4,2,4,0,,
26,4,2,5,1,1,no video
26,4,2,6,1,1,no video
26,4,2,7,1,3,100
26,4,2,8,0,,
26,4,2,9,1,1,146
26,4,2,10,0,,
26,4,2,11,0,,
28,4,2,1,1,1,50
28,4,2,2,1,3,234
28,4,2,3,1,1,279
28,4,2,4,0,,
28,4,2,5,0,,
28,4,2,6,1,1,150
28,4,2,7,0,,
28,4,2,8,0,,
28,4,2,9,1,1,17
28,4,2,10,1,1,32
28,4,2,11,0,,
29,4,2,1,1,1,31
29,4,2,2,1,2,6
29,4,2,3,1,1,28
29,4,2,4,1,1,27
29,4,2,5,1,1,44
29,4,2,6,1,1,7
29,4,2,7,1,1,280
29,4,2,8,1,1,244
29,4,2,9,0,,
29,4,2,10,1,3,15
29,4,2,11,1,4,98
31,6,2,1,1,1,25
31,6,2,2,1,1,9
31,6,2,3,0,,
31,6,2,4,0,,
31,6,2,5,1,1,245
31,6,2,6,1,1,5
31,6,2,7,1,1,15
31,6,2,8,1,3,62
31,6,2,9,1,1,169
31,6,2,10,0,,
31,6,2,11,1,4,1
32,4,2,1,1,1,1
32,4,2,2,1,3,81
32,4,2,3,1,3,267
32,4,2,4,1,1,3
32,4,2,5,1,3,151
32,4,2,6,1,1,119
32,4,2,7,1,1,20
32,4,2,8,1,1,31
32,4,2,9,1,1,39
32,4,2,10,1,1,1
32,4,2,11,1,4,48
33,6,2,1,1,3,203
33,6,2,2,1,1,230
33,6,2,3,1,1,139
33,6,2,4,1,1,71
33,6,2,5,1,1,121
33,6,2,6,1,1,49
33,6,2,7,1,1,39
33,6,2,8,1,2,8
33,6,2,9,1,1,49
33,6,2,10,1,1,53
33,6,2,11,1,4,24
10,7,3,1,1,1,88
10,7,3,2,1,1,193
10,7,3,3,0,,
10,7,3,4,0,,
10,7,3,5,0,,
10,7,3,6,1,1,24
10,7,3,7,0,,
10,7,3,8,0,,
10,7,3,9,0,,
10,7,3,10,0,,
13,7,3,1,1,1,239
13,7,3,2,0,,
13,7,3,3,0,,
13,7,3,4,0,,
13,7,3,5,1,1,227
13,7,3,6,1,1,264
13,7,3,7,0,,
13,7,3,8,0,,
13,7,3,9,0,,
13,7,3,10,0,,
5,7,3,1,0,,
5,7,3,2,0,,
5,7,3,3,0,,
5,7,3,4,0,,
5,7,3,5,1,1,30
5,7,3,6,0,,
5,7,3,7,0,,
5,7,3,8,0,,
5,7,3,9,0,,
5,7,3,10,0,,
60,7,3,1,0,,
60,7,3,2,0,,
60,7,3,3,0,,
60,7,3,4,0,,
60,7,3,5,0,,
60,7,3,6,0,,
60,7,3,7,0,,
60,7,3,8,0,,
60,7,3,9,0,,
60,7,3,10,0,,
9,7,3,1,1,1,11
9,7,3,2,0,,
9,7,3,3,1,1,47
9,7,3,4,0,,
9,7,3,5,1,1,59
9,7,3,6,0,,
9,7,3,7,0,,
9,7,3,8,0,,
9,7,3,9,0,,
9,7,3,10,0,,
84,8,3,1,1,1,41
84,8,3,2,0,,
84,8,3,3,1,1,209
84,8,3,4,0,,
84,8,3,5,1,2,109
84,8,3,6,1,2,27
84,8,3,7,1,1,44
84,8,3,8,1,1,145
84,8,3,9,1,1,118
84,8,3,10,1,2,272
84,8,3,11,1,4,30
45,8,3,1,0,,
