,sub,block,trial,targetcolor,targetparity,response_parity,response_color,acc_parity,acc_color,condition
0,21,1,1,4,2,2,,1,,pre-surprise
1,21,1,2,2,1,1,,1,,pre-surprise
2,21,1,3,2,2,2,,1,,pre-surprise
3,21,1,4,4,1,1,,1,,pre-surprise
4,21,1,5,4,2,2,,1,,pre-surprise
5,21,1,6,4,1,1,,1,,pre-surprise
6,21,1,7,3,2,2,,1,,pre-surprise
7,21,1,8,1,1,1,,1,,pre-surprise
8,21,1,9,2,2,2,,1,,pre-surprise
9,21,1,10,4,2,1,,0,,pre-surprise
10,21,1,11,1,2,2,,1,,pre-surprise
11,21,1,12,3,1,1,,1,,pre-surprise
12,21,1,13,1,2,2,,1,,pre-surprise
13,21,1,14,2,1,1,,1,,pre-surprise
14,21,1,15,1,1,1,,1,,pre-surprise
15,21,1,16,1,1,1,,1,,pre-surprise
16,21,1,17,3,2,2,,1,,pre-surprise
17,21,1,18,2,2,2,,1,,pre-surprise
18,21,1,19,2,1,1,,1,,pre-surprise
19,21,1,20,1,2,2,,1,,pre-surprise
20,21,1,21,4,2,2,,1,,pre-surprise
21,21,1,22,1,1,1,,1,,pre-surprise
22,21,1,23,3,1,1,,1,,pre-surprise
23,21,1,24,3,1,1,,1,,pre-surprise
24,21,1,25,3,2,2,,1,,pre-surprise
25,21,1,26,4,1,1,,1,,pre-surprise
26,21,1,27,1,2,2,,1,,pre-surprise
27,21,1,28,2,1,1,1.0,1,0.0,surprise
28,21,1,29,4,1,1,4.0,1,1.0,control
29,21,1,30,3,2,2,3.0,1,1.0,control
30,21,1,31,3,1,1,3.0,1,1.0,control
31,21,1,32,2,2,2,2.0,1,1.0,control
32,22,1,1,4,2,2,,1,,pre-surprise
33,22,1,2,1,1,1,,1,,pre-surprise
34,22,1,3,2,2,2,,1,,pre-surprise
35,22,1,4,3,2,1,,0,,pre-surprise
36,22,1,5,3,2,2,,1,,pre-surprise
37,22,1,6,2,1,1,,1,,pre-surprise
38,22,1,7,4,2,2,,1,,pre-surprise
39,22,1,8,4,1,1,,1,,pre-surprise
40,22,1,9,2,1,1,,1,,pre-surprise
41,22,1,10,3,1,1,,1,,pre-surprise
42,22,1,11,1,1,1,,1,,pre-surprise
43,22,1,12,3,1,2,,0,,pre-surprise
44,22,1,13,2,2,2,,1,,pre-surprise
45,22,1,14,4,2,2,,1,,pre-surprise
46,22,1,15,3,1,1,,1,,pre-surprise
47,22,1,16,2,2,2,,1,,pre-surprise
48,22,1,17,2,2,2,,1,,pre-surprise
49,22,1,18,3,2,2,,1,,pre-surprise
50,22,1,19,1,2,2,,1,,pre-surprise
51,22,1,20,1,1,1,,1,,pre-surprise
52,22,1,21,4,2,2,,1,,pre-surprise
53,22,1,22,2,1,1,,1,,pre-surprise
54,22,1,23,3,1,1,,1,,pre-surprise
55,22,1,24,3,2,2,,1,,pre-surprise
56,22,1,25,1,1,1,,1,,pre-surprise
57,22,1,26,1,2,2,,1,,pre-surprise
58,22,1,27,4,1,1,,1,,pre-surprise
59,22,1,28,2,1,1,2.0,1,1.0,surprise
60,22,1,29,1,2,2,1.0,1,1.0,control
61,22,1,30,4,1,1,4.0,1,1.0,control
62,22,1,31,4,1,1,4.0,1,1.0,control
63,22,1,32,1,2,2,1.0,1,1.0,control
64,23,1,1,1,2,2,,1,,pre-surprise
65,23,1,2,2,1,1,,1,,pre-surprise
66,23,1,3,4,2,2,,1,,pre-surprise
67,23,1,4,1,2,2,,1,,pre-surprise
68,23,1,5,2,1,1,,1,,pre-surprise
69,23,1,6,2,1,1,,1,,pre-surprise
70,23,1,7,2,2,2,,1,,pre-surprise
71,23,1,8,4,1,1,,1,,pre-surprise
72,23,1,9,2,2,2,,1,,pre-surprise
73,23,1,10,2,2,2,,1,,pre-surprise
74,23,1,11,4,2,2,,1,,pre-surprise
75,23,1,12,4,1,1,,1,,pre-surprise
76,23,1,13,3,1,1,,1,,pre-surprise
